,Rank,Name,Team,Cl,Height,Position,G,FGM,FT,PTS,division
0,1,Isiaih Mosley,Missouri St.,Jr.,6-5,G,22,171,77,469,division1
1,2,Malachi Smith,Chattanooga,So.,6-4,G,21,156,97,452,division1
2,3,Darius McGhee,Liberty,Sr.,5-9,G,19,148,62,437,division1
3,4,Antonio Reeves,Illinois St.,Jr.,6-6,G,21,154,69,431,division1
4,5,Max Abmas,Oral Roberts,Jr.,6-0,G,19,142,69,430,division1
5,6,Alondes Williams,Wake Forest,Sr.,6-5,G,21,159,82,428,division1
6,7,Savion Flagg,Sam Houston,Sr.,6-7,G,21,156,51,420,division1
7,8,Tanner Holden,Wright St.,Jr.,6-6,G,20,141,122,413,division1
8,9,Keegan Murray,Iowa,So.,6-8,F,18,157,69,411,division1
9,10,Ochai Agbaji,Kansas,Sr.,6-5,G,19,149,45,405,division1
10,11,Dereon Seabron,NC State,So.,6-7,G,21,151,90,400,division1
11,12,Ryan Rollins,Toledo,So.,6-4,G,20,140,88,399,division1
12,13,Jake Stephens,VMI,Sr.,6-8,C,21,138,75,396,division1
13,14,Bryce Hamilton,UNLV,Sr.,6-4,G,20,143,67,395,division1
14,15,Taevion Kinsey,Marshall,Sr.,6-5,G,19,145,94,395,division1
15,16,John-Michael Wright,High Point,Jr.,6-1,G,20,128,91,393,division1
16,17,Kendric Davis,SMU,Sr.,5-11,G,19,116,110,391,division1
17,18,Antoine Davis,Detroit Mercy,Sr.,6-1,G,16,133,55,390,division1
18,19,Cam Spencer,Loyola Maryland,Jr.,6-4,G,20,141,67,387,division1
19,20,Buddy Boeheim,Syracuse,Sr.,6-6,G,20,127,74,378,division1
20,21,Tavian Dunn-Martin,FGCU,Sr.,5-8,G,19,113,87,372,division1
21,22,Justin Bean,Utah St.,Sr.,6-7,F,20,142,63,370,division1
22,23,Trayce Jackson-Davis,Indiana,Jr.,6-9,F,20,142,84,368,division1
23,24,Fardaws Aimaq,Utah Valley,So.,6-11,C,19,134,90,366,division1
24,25,Adrian Delph,App State,Sr.,6-3,G,21,129,46,366,division1
25,26,Kamdyn Curfman,VMI,Jr.,6-0,G,21,126,33,365,division1
26,27,Orlando Robinson,Fresno St.,Jr.,7-0,F,19,131,84,365,division1
27,28,Javante McCoy,Boston U.,Sr.,6-5,G,22,141,38,363,division1
28,29,M.J. Randolph,Florida A M,Sr.,6-4,G,18,134,82,361,division1
29,30,Andrew Funk,Bucknell,Sr.,6-5,G,21,135,37,360,division1
30,31,JD Notae,Arkansas,Sr.,6-2,G,19,133,51,360,division1
31,32,Jamal Cain,Oakland,Sr.,6-7,F,18,135,68,359,division1
32,33,Jamaree Bouyea,San Francisco,Sr.,6-2,G,20,134,43,358,division1
33,34,Hayden Brown,The Citadel,Sr.,6-6,F,19,129,77,357,division1
34,35,Rayshon Harrison,Presbyterian,So.,6-4,G,21,115,90,357,division1
35,36,Kameron McGusty,Miami (FL),Sr.,6-5,G,20,119,89,357,division1
36,37,Terrell Brown Jr.,Washington,Sr.,6-3,G,17,130,88,356,division1
37,38,Johnny Davis,Wisconsin,So.,6-5,G,16,124,81,356,division1
38,39,"Jamal Mashburn, Jr.",New Mexico,So.,6-2,G,20,128,66,356,division1
39,40,Azar Swain,Yale,Sr.,6-0,G,18,118,74,355,division1
40,41,Tevin Brown,Murray St.,Jr.,6-5,G,20,114,59,353,division1
41,42,Mark Sears,Ohio,So.,6-1,G,18,114,99,352,division1
42,43,Alex Barcello,BYU,Sr.,6-2,G,21,113,73,351,division1
43,44,Lamar Norman Jr.,Western Mich.,Jr.,6-1,G,18,125,42,351,division1
44,45,Grant Basile,Wright St.,Jr.,6-9,F,20,126,80,350,division1
45,46,Jalen Cone,Northern Ariz.,So.,5-11,G,18,110,71,350,division1
46,47,Gibson Jimerson,Saint Louis,Fr.,6-5,G,19,115,73,349,division1
47,48,Justin Lewis,Marquette,Fr.,6-7,F,21,125,64,349,division1
48,49,Iverson Molinar,Mississippi St.,Jr.,6-3,G,19,125,78,349,division1
49,50,Scotty Pippen Jr.,Vanderbilt,Jr.,6-3,G,19,110,96,349,division1
50,51,Mike Bothwell,Furman,Sr.,6-3,G,22,117,74,348,division1
51,52,Mikey Dixon,Idaho,Sr.,6-2,G,19,101,112,348,division1
52,53,Graham Ike,Wyoming,So.,6-9,F,17,128,90,348,division1
53,54,Jalen Williams,Santa Clara,Jr.,6-6,G,19,124,75,347,division1
54,55,Michael Devoe,Georgia Tech,Sr.,6-5,G,18,123,56,346,division1
55,56,Teddy Allen,New Mexico St.,Jr.,6-6,G,19,117,66,344,division1
56,57,Jahmir Young,Charlotte,Jr.,6-2,G,18,117,72,344,division1
57,58,Collin Gillespie,Villanova,Sr.,6-2,G,20,112,53,343,division1
58,59,Jaden Shackelford,Alabama,Jr.,6-3,G,20,115,49,342,division1
59,60,Tyler Thomas,Sacred Heart,Jr.,6-3,G,19,133,28,342,division1
60,61,Paolo Banchero,Duke,Fr.,6-10,F,19,122,77,341,division1
61,62,Jordan Walker,UAB,Jr.,5-11,G,19,113,53,341,division1
62,63,Tyrn Flowers,LIU,Sr.,6-9,F,18,124,37,339,division1
63,64,Trenton Massner,Western Ill.,Jr.,6-3,G,20,130,43,339,division1
64,65,Javon Freeman-Liberty,DePaul,Sr.,6-4,G,16,117,70,338,division1
65,66,Jalen Slawson,Furman,Sr.,6-7,F,22,125,60,338,division1
66,67,Izaiah Brockington,Iowa St.,Sr.,6-4,G,20,127,66,337,division1
67,68,Jordan Dingle,Penn,So.,6-3,G,18,123,47,336,division1
68,69,Derek St. Hilaire,New Orleans,Sr.,6-0,G,17,119,61,336,division1
69,70,Jalen Rucker,Army West Point,So.,5-10,G,21,112,55,335,division1
70,71,KJ Simon,UT Martin,Jr.,6-3,G,20,134,44,335,division1
71,72,KJ Williams,Murray St.,Jr.,6-10,F,20,138,42,335,division1
72,73,B.J. Mack,Wofford,Jr.,6-8,C,21,125,64,334,division1
73,74,Terry Roberts,Bradley,Jr.,6-3,G,21,130,42,334,division1
74,75,Tyler Burton,Richmond,Jr.,6-7,F,20,108,77,333,division1
75,76,Justin Johnson,UTRGV,Jr.,6-6,G,20,117,79,333,division1
76,77,Taz Sherman,West Virginia,Sr.,6-4,G,18,112,75,333,division1
77,78,Daylen Kountz,Northern Colo.,Sr.,6-4,G,17,123,58,332,division1
78,79,Julian Champagnie,St. John s (NY),Jr.,6-8,F,17,123,44,331,division1
79,80,Koby McEwen,Weber St.,Sr.,6-4,G,19,100,89,331,division1
80,81,AJ Green,UNI,Sr.,6-4,G,18,98,79,329,division1
81,82,Sukhmail Mathon,Boston U.,Sr.,6-10,F,22,114,100,329,division1
82,83,Daeqwon Plowden,Bowling Green,Sr.,6-6,F,20,111,80,329,division1
83,84,Isaiah Wong,Miami (FL),So.,6-3,G,20,121,57,329,division1
84,85,Peter Kiss,Bryant,Sr.,6-5,G,15,123,56,328,division1
85,86,Grant Sherfield,Nevada,Jr.,6-2,G,17,114,65,326,division1
86,87,Oscar Tshiebwe,Kentucky,Jr.,6-9,F,20,131,64,326,division1
87,88,Eric Ayala,Maryland,Sr.,6-5,G,20,109,55,325,division1
88,89,Armando Bacot,North Carolina,Jr.,6-10,F,20,130,64,325,division1
89,90,Sincere Carry,Kent St.,Sr.,6-1,G,19,105,76,325,division1
90,91,Steele Venters,Eastern Wash.,Fr.,6-7,F,18,109,53,325,division1
91,92,Johni Broome,Morehead St.,Fr.,6-10,F,20,134,56,324,division1
92,93,D.J. Burns Jr.,Winthrop,Jr.,6-9,F,20,143,37,323,division1
93,94,Ty Gordon,Nicholls,Sr.,6-1,G,16,124,15,323,division1
94,95,Rocky Kreuser,North Dakota St.,Sr.,6-10,F,20,106,72,323,division1
95,96,Alex Hunter,Furman,Sr.,5-11,G,22,113,20,322,division1
96,97,Darius Quisenberry,Fordham,Sr.,6-1,G,18,101,71,322,division1
97,98,KJ Hunt,Denver,Jr.,6-3,G,21,118,65,321,division1
98,99,"Charles Manning, Jr.",South Alabama,Sr.,6-4,G,18,112,77,320,division1
99,100,Drew Timme,Gonzaga,Jr.,6-10,F,17,121,74,320,division1
100,101,Felipe Haase,Mercer,Sr.,6-9,F,21,102,63,319,division1
101,102,Ray Sean Taylor,SIUE,Fr.,6-1,G,19,117,42,319,division1
102,103,Tristen Newton,East Carolina,Jr.,6-5,G,18,103,82,318,division1
103,104,Justin Moore,Villanova,Jr.,6-4,G,20,113,45,317,division1
104,105,David Roddy,Colorado St.,Jr.,6-6,F,17,115,65,317,division1
105,106,Keve Aluma,Virginia Tech,Sr.,6-9,F,20,124,56,316,division1
106,107,Cameron Tyson,Seattle U,So.,6-2,G,19,107,27,316,division1
107,108,Ben Sheppard,Belmont,Jr.,6-6,G,20,114,40,315,division1
108,109,Jalen Cook,Tulane,Fr.,6-0,G,16,107,62,313,division1
109,110,Bennedict Mathurin,Arizona,So.,6-6,G,18,107,57,313,division1
110,111,Baylor Scheierman,South Dakota St.,So.,6-6,G,21,103,57,313,division1
111,112,Aaron Estrada,Hofstra,Jr.,6-3,G,19,121,44,311,division1
112,113,Marcus Hammond,Niagara,Sr.,6-1,G,18,98,69,311,division1
113,114,John Hugley,Pittsburgh,So.,6-9,F,20,95,116,311,division1
114,115,E.J. Liddell,Ohio St.,Jr.,6-6,F,16,103,82,311,division1
115,116,Ron Harper Jr.,Rutgers,Sr.,6-6,G,19,103,61,309,division1
116,117,Jaelen House,New Mexico,Jr.,6-0,G,19,102,78,309,division1
117,118,Trey Townsend,Oakland,Fr.,6-6,F,20,122,60,309,division1
118,119,Jovan Blacksher Jr.,Grand Canyon,Jr.,5-11,G,18,112,39,308,division1
119,120,Jarred Godfrey,Purdue Fort Wayne,Sr.,6-5,G,19,107,51,308,division1
120,121,Alfonso Plummer,Illinois,Sr.,6-1,G,19,99,49,307,division1
121,122,Marcus Domask,Southern Ill.,Jr.,6-6,F,20,98,77,306,division1
122,123,Ques Glover,Samford,So.,6-0,G,17,107,76,306,division1
123,124,Dae Dae Grant,Miami (OH),Jr.,6-2,G,18,112,42,306,division1
124,125,Cameron Holden,Towson,Jr.,6-5,F,21,106,78,306,division1
125,126,"Kenneth Lofton, Jr.",Louisiana Tech,Fr.,6-7,F,18,119,66,305,division1
126,127,Jeenathan Williams,Buffalo,Sr.,6-5,F,16,117,42,305,division1
127,128,Jericole Hellems,NC State,Sr.,6-7,F,21,99,60,304,division1
128,129,Hyunjung Lee,Davidson,Jr.,6-7,G,19,102,53,304,division1
129,130,Gaige Prim,Missouri St.,Sr.,6-9,F,22,116,68,304,division1
130,131,Jabari Smith,Auburn,Fr.,6-10,F,20,103,56,304,division1
131,132,Will Carius,Western Ill.,Sr.,6-7,F,19,94,54,303,division1
132,133,Isaac Mushila,A M-Corpus Christi,Jr.,6-5,F,20,101,94,303,division1
133,134,Jacob Ognacevic,Lipscomb,Fr.,6-7,F,20,99,79,303,division1
134,135,JT Shumate,Toledo,Jr.,6-7,F,20,108,47,303,division1
135,136,Tari Eason,LSU,So.,6-8,F,19,109,71,302,division1
136,137,Grant Golden,Richmond,Sr.,6-10,F,20,124,33,302,division1
137,138,Hunter Maldonado,Wyoming,Sr.,6-7,G,17,103,84,302,division1
138,139,Terquavion Smith,NC State,Fr.,6-4,G,21,109,28,302,division1
139,140,Dylan Painter,Delaware,Sr.,6-10,F,21,101,93,301,division1
140,141,Evan Taylor,Lehigh,Jr.,6-6,G,21,109,46,301,division1
141,142,Jaden Ivey,Purdue,So.,6-4,G,18,98,68,300,division1
142,143,Caleb Love,North Carolina,So.,6-4,G,20,98,60,300,division1
143,144,Nick Robinson,Western Caro.,Sr.,6-5,G,21,98,63,300,division1
144,145,Bryce McGowens,Nebraska,Fr.,6-7,G,19,95,87,299,division1
145,146,Darrion Trammell,Seattle U,So.,5-10,G,19,90,90,299,division1
146,147,Tevin Brewer,FIU,Jr.,5-8,G,19,101,52,297,division1
147,148,Ryan Davis,Vermont,Sr.,6-8,F,17,110,49,297,division1
148,149,Tyson Jolly,Iona,Sr.,6-4,G,20,105,59,297,division1
149,150,David Azore,UT Arlington,Sr.,6-4,G,16,93,97,296,division1
150,151,Ledarrius Brewer,ETSU,Sr.,6-5,G,22,113,26,296,division1
151,152,DeAndre Gholston,Milwaukee,Jr.,6-5,G,19,105,46,296,division1
152,153,Jeriah Horne,Tulsa,Sr.,6-7,F,18,99,60,296,division1
153,154,Kofi Cockburn,Illinois,Jr.,7-0,C,14,112,71,295,division1
154,155,PJ Hall,Clemson,So.,6-10,F,20,115,46,295,division1
155,156,Max Klesmit,Wofford,So.,6-3,G,20,99,55,295,division1
156,157,James Bishop,George Washington,Jr.,6-2,G,18,106,46,294,division1
157,158,Jalen Johnson,Mercer,Sr.,6-6,G,20,98,39,293,division1
158,159,David Sloan,ETSU,Sr.,6-0,G,22,107,33,293,division1
159,160,Joe Bryant,Norfolk St.,Sr.,6-1,G,18,87,93,292,division1
160,161,Jake LaRavia,Wake Forest,Jr.,6-8,G,19,102,74,292,division1
161,162,Essam Mostafa,Coastal Carolina,So.,6-9,F,19,112,67,292,division1
162,163,Nicolas Timberlake,Towson,Jr.,6-4,G,21,101,47,292,division1
163,164,Jordan Usher,Georgia Tech,Sr.,6-7,F,19,113,39,292,division1
164,165,E.J. Anosike,Cal St. Fullerton,Sr.,6-7,F,16,104,80,291,division1
165,166,Christian Braun,Kansas,Jr.,6-6,G,19,107,55,291,division1
166,167,Dane Goodwin,Notre Dame,Sr.,6-6,G,19,106,35,291,division1
167,168,Jay Jay Chandler,South Alabama,Sr.,6-4,G,19,104,56,290,division1
168,169,Zach Edey,Purdue,So.,7-4,C,19,117,56,290,division1
169,170,Norchad Omier,Arkansas St.,Fr.,6-7,F,17,115,59,290,division1
170,171,Jordan Hall,Saint Joseph s,So.,6-7,F,19,104,37,289,division1
171,172,Johnny Juzang,UCLA,Jr.,6-7,G,16,108,41,289,division1
172,173,Gus Okafor,Southeastern La.,Jr.,6-6,F,20,92,67,289,division1
173,174,Miles Coleman,NJIT,Sr.,6-5,F,18,102,56,288,division1
174,175,Gavin Kensmil,SFA,Sr.,6-7,F,20,105,77,288,division1
175,176,Wendell Moore Jr.,Duke,Jr.,6-5,F,19,108,42,287,division1
176,177,Jordan King,ETSU,Jr.,6-0,G,22,102,24,286,division1
177,178,Jahvon Quinerly,Alabama,Sr.,6-1,G,20,106,47,286,division1
178,179,Vince Cole,Coastal Carolina,Sr.,6-6,G,19,99,36,285,division1
179,180,Sam Griffin,Tulsa,So.,6-3,G,18,104,36,285,division1
180,181,Dayvion McKnight,Western Ky.,So.,6-1,G,19,106,67,285,division1
181,182,Nick Muszynski,Belmont,Sr.,6-11,C,19,115,53,285,division1
182,183,Drew Pember,UNC Asheville,Jr.,6-10,F,19,93,77,285,division1
183,184,Jose Perez,Manhattan,Sr.,6-5,G,16,93,90,285,division1
184,185,Blake Wesley,Notre Dame,Fr.,6-5,G,19,101,49,285,division1
185,186,Douglas Wilson,South Dakota St.,Sr.,6-7,F,20,102,80,285,division1
186,187,Tucker DeVries,Drake,Fr.,6-7,G,21,97,41,284,division1
187,188,Eli Scott,LMU (CA),Sr.,6-6,F,17,106,67,284,division1
188,189,Setric Millner Jr.,Toledo,Jr.,6-7,F,20,103,52,283,division1
189,190,Will Richardson,Oregon,Sr.,6-5,G,19,99,44,283,division1
190,191,Keshawn Justice,Santa Clara,Sr.,6-7,F,19,97,38,282,division1
191,192,Paul Bruns,North Dakota,Fr.,6-4,G,20,98,42,281,division1
192,193,RJ Cole,UConn,Sr.,6-1,G,18,89,70,281,division1
193,194,Josh Oduro,George Mason,Jr.,6-9,F,16,106,58,281,division1
194,195,Jared Rhoden,Seton Hall,Sr.,6-6,F,18,96,73,281,division1
195,196,Noah Kirkwood,Harvard,Sr.,6-7,G,16,105,42,280,division1
196,197,Nijel Pack,Kansas St.,So.,6-0,G,17,98,31,280,division1
197,198,George Papas,Monmouth,Sr.,6-5,G,18,85,53,280,division1
198,199,Kruz Perrott-Hunt,South Dakota,Jr.,6-3,G,19,89,68,280,division1
199,200,Souley Boum,UTEP,Jr.,6-3,G,15,76,96,279,division1
200,201,Taylor Funk,Saint Joseph s,Sr.,6-8,F,19,91,39,279,division1
201,202,Jayden Gardner,Virginia,Sr.,6-6,F,20,111,54,279,division1
202,203,Foster Loyer,Davidson,Jr.,6-0,G,18,84,63,279,division1
203,204,Isaiah Mobley,Southern California,Jr.,6-10,F,19,99,50,279,division1
204,205,"Eric Reed, Jr.",Southeast Mo. St.,Jr.,6-2,G,18,93,51,279,division1
205,206,Jordan Shepherd,California,Sr.,6-4,G,19,94,70,279,division1
206,207,Brad Davison,Wisconsin,Sr.,6-4,G,18,84,63,278,division1
207,208,Marcellus Earlington,San Diego,Sr.,6-6,F,20,102,46,278,division1
208,209,RJ Glasper,UIW,Sr.,6-0,G,19,98,52,278,division1
209,210,Carl Pierre,Rice,Sr.,6-4,G,18,97,25,278,division1
210,211,Charles Pride,Bryant,Jr.,6-4,G,18,100,45,278,division1
211,212,Jan Zidek,Pepperdine,Jr.,6-9,F,21,98,56,278,division1
212,213,David Jean-Baptiste,Chattanooga,Sr.,6-1,G,19,93,32,277,division1
213,214,Kino Lilly Jr.,Brown,Fr.,6-0,G,21,93,40,277,division1
214,215,Santiago Vescovi,Tennessee,Jr.,6-3,G,19,90,38,277,division1
215,216,Jimmy Boeheim,Syracuse,Sr.,6-8,F,20,109,36,276,division1
216,217,De Monte Buckingham,UNC Greensboro,Sr.,6-4,G,20,93,45,276,division1
217,218,C.J. Keyser,Old Dominion,Sr.,6-3,G,19,107,38,276,division1
218,219,Chris Austin,Portland,So.,6-4,G,19,96,55,275,division1
219,220,Yauhen Massalski,San Francisco,Sr.,6-9,F,20,117,39,275,division1
220,221,Zach Austin,High Point,So.,6-4,F,20,98,39,274,division1
221,222,Luka Brajkovic,Davidson,Sr.,6-10,F,19,113,32,274,division1
222,223,Jacob Germany,UTSA,Jr.,6-11,C,20,108,57,274,division1
223,224,Phillip Russell,Southeast Mo. St.,Fr.,5-10,G,19,85,67,274,division1
224,225,Jaylin Andrews,Loyola Maryland,Sr.,6-4,G,19,94,55,273,division1
225,226,Colton Sandage,Western Ill.,Sr.,6-2,G,20,90,51,273,division1
226,227,Ben Shungu,Vermont,Sr.,6-2,G,18,100,41,273,division1
227,228,Bryson Williams,Texas Tech,Sr.,6-8,F,20,107,36,273,division1
228,229,Pete Nance,Northwestern,Sr.,6-10,F,17,102,46,272,division1
229,230,Jameer Nelson Jr.,Delaware,Jr.,6-1,G,21,102,37,272,division1
230,231,Mason Archambault,South Dakota,Sr.,6-0,G,19,78,81,271,division1
231,232,Tamenang Choh,Brown,Sr.,6-5,F,18,86,84,271,division1
232,233,Travis Evee,Rice,So.,6-1,G,18,87,46,271,division1
233,234,Nelly Joseph,Iona,So.,6-9,F,20,97,76,271,division1
234,235,Joel Murray,Long Beach St.,Jr.,5-11,G,17,101,58,271,division1
235,236,Alonzo Verge Jr.,Nebraska,Sr.,6-3,G,19,101,60,271,division1
236,237,Jamison Battle,Minnesota,Jr.,6-7,F,15,98,35,270,division1
237,238,Sy Chatman,Illinois St.,Jr.,6-8,F,20,100,69,270,division1
238,239,RJ Davis,North Carolina,So.,6-0,G,20,90,57,270,division1
239,240,Jalen Moore,Oakland,Jr.,5-11,G,18,74,99,270,division1
240,241,Bryson Mozone,USC Upstate,Sr.,6-6,G,19,100,29,270,division1
241,242,Anthony Roberts,Stony Brook,Sr.,6-4,G,18,99,48,270,division1
242,243,John Carter Jr.,Navy,Sr.,6-3,G,20,91,44,269,division1
243,244,David Jones,DePaul,So.,6-6,F,18,103,40,269,division1
244,245,Tyrone Lyons,Southern U.,Jr.,6-6,G,19,89,68,269,division1
245,246,Shavar Reynolds,Monmouth,Sr.,6-2,G,18,89,65,269,division1
246,247,Ronaldo Segu,Buffalo,Sr.,6-0,G,17,97,43,269,division1
247,248,Boo Buie,Northwestern,Jr.,6-2,G,18,91,46,268,division1
248,249,Desmond Cambridge Jr.,Nevada,Sr.,6-4,G,17,101,19,268,division1
249,250,Tyree Corbett,Coppin St.,Jr.,6-7,F,18,100,57,268,division1
250,251,Michael Forrest,Fla. Atlantic,Jr.,6-0,G,19,91,34,268,division1
251,252,Riley Grigsby,Seattle U,Jr.,6-6,G,19,99,40,268,division1
252,253,Darryl Morsell,Marquette,Sr.,6-5,G,20,90,56,268,division1
253,254,D Shawn Schwartz,George Mason,Sr.,6-7,G,17,99,26,268,division1
254,255,Lance Terry,Gardner-Webb,Jr.,6-2,G,19,99,38,268,division1
255,256,Amorie Archibald,Louisiana Tech,Sr.,6-3,G,19,85,63,267,division1
256,257,Joe Bamisile,George Washington,So.,6-4,G,18,109,22,267,division1
257,258,David DeJulius,Cincinnati,Sr.,6-0,G,20,96,46,267,division1
258,259,Eral Penn,LIU,Sr.,6-7,F,17,89,64,267,division1
259,260,Jaylen Forbes,Tulane,So.,6-5,G,17,83,55,266,division1
260,261,D Moi Hodge,Cleveland St.,Sr.,6-4,G,17,96,37,266,division1
261,262,Abu Kigab,Boise St.,Sr.,6-7,F,20,93,69,266,division1
262,263,AJ Walker,Air Force,Sr.,6-2,G,17,93,43,266,division1
263,264,Kendal Coleman,Northwestern St.,So.,6-8,C,18,122,21,265,division1
264,265,Russell Harrison,ULM,Sr.,6-7,F,20,96,28,265,division1
265,266,K.D. Johnson,Auburn,So.,6-1,G,20,84,64,265,division1
266,267,Jabari Walker,Colorado,So.,6-9,F,19,90,70,265,division1
267,268,Rylan Bergersen,Eastern Wash.,Sr.,6-6,G,19,83,85,264,division1
268,269,Josh Caldwell,Army West Point,Sr.,6-2,G,21,110,33,264,division1
269,270,Hunter Dickinson,Michigan,So.,7-1,C,16,114,27,264,division1
270,271,Najee Garvin,Hampton,Sr.,6-8,F,17,95,67,264,division1
271,272,Andre Kelly,California,Sr.,6-9,F,19,113,36,264,division1
272,273,Donovan Williams,UNLV,Jr.,6-6,F,19,93,54,264,division1
273,274,Payton Willis,Minnesota,Sr.,6-4,G,16,99,24,264,division1
274,275,Damaria Franklin,UIC,Sr.,6-4,G,15,104,31,263,division1
275,276,Evan Gilyard II,Kansas City,Sr.,5-10,G,19,87,50,263,division1
276,277,Darian Adams,Jacksonville St.,Sr.,6-3,G,18,84,64,262,division1
277,278,Luka Barisic,Western Ill.,Sr.,6-10,F,20,102,26,262,division1
278,279,Aljami Durham,Providence,Sr.,6-4,G,19,66,112,262,division1
279,280,Shamar Givance,Evansville,Sr.,5-10,G,19,92,54,262,division1
280,281,Justice Hill,Murray St.,So.,6-0,G,20,92,36,262,division1
281,282,Jason Roche,The Citadel,Fr.,6-5,F,19,81,28,262,division1
282,283,Fatts Russell,Maryland,Sr.,5-10,G,20,87,69,262,division1
283,284,D Maurian Williams,Gardner-Webb,So.,6-5,G,19,87,43,262,division1
284,285,Damian Dunn,Temple,Fr.,6-5,G,17,82,77,261,division1
285,286,Joseph Girard III,Syracuse,Jr.,6-1,G,20,81,46,261,division1
286,287,Walker Miller,Monmouth,Sr.,6-10,F,18,97,56,261,division1
287,288,Ethan Wright,Princeton,Sr.,6-2,G,18,97,23,261,division1
288,289,Alijah Martin,Fla. Atlantic,Fr.,6-0,G,19,90,34,260,division1
289,290,Ricardo Wright,Marist,So.,6-4,G,18,96,28,260,division1
290,291,Noah Carter,UNI,Jr.,6-6,F,19,92,48,259,division1
291,292,Kyler Edwards,Houston,Sr.,6-4,G,18,85,37,259,division1
292,293,Demetric Horton,N.C. A T,Jr.,6-5,G,21,99,17,259,division1
293,294,Quenton Jackson,Texas A M,Sr.,6-5,G,20,88,59,259,division1
294,295,Ben Krikke,Valparaiso,Jr.,6-9,F,18,105,46,259,division1
295,296,Marques Warrick,Northern Ky.,So.,6-2,G,18,88,46,259,division1
296,297,TyTy Washington Jr.,Kentucky,Fr.,6-3,G,19,106,24,259,division1
297,298,Matt Bradley,San Diego St.,Sr.,6-4,G,16,93,51,258,division1
298,299,Jason Carter,Ohio,Sr.,6-8,F,18,103,39,258,division1
299,300,John Knight III,Southern Utah,Sr.,6-2,G,17,95,68,258,division1
300,301,Josiah Strong,Illinois St.,Sr.,6-2,G,21,90,19,258,division1
301,302,Keondre Kennedy,UMBC,Sr.,6-6,G,18,100,28,257,division1
302,303,Mekhi Lairy,Miami (OH),Sr.,5-8,G,18,90,45,257,division1
303,304,Jawaun Newton,Evansville,Sr.,6-3,G,19,94,42,257,division1
304,305,Isaiah Stevens,Colorado St.,Jr.,6-0,G,17,93,47,257,division1
305,306,Michael Akuchie,Youngstown St.,Sr.,6-8,F,20,88,68,256,division1
306,307,Kobe Brown,Missouri,Jr.,6-7,F,19,93,61,256,division1
307,308,Noah Fernandes,Massachusetts,Jr.,5-11,G,16,88,50,256,division1
308,309,Posh Alexander,St. John s (NY),So.,6-0,G,17,95,54,255,division1
309,310,Brady Manek,North Carolina,Sr.,6-9,F,20,95,25,255,division1
310,311,Caleb Mills,Florida St.,So.,6-3,G,19,93,46,255,division1
311,312,Brandon Betson,Chicago St.,Jr.,6-1,G,19,92,29,254,division1
312,313,Gabe Brown,Michigan St.,Sr.,6-7,F,19,84,45,254,division1
313,314,Jahlil Jenkins,Stony Brook,Sr.,6-0,G,18,93,33,254,division1
314,315,Tevin Olison,Youngstown St.,Sr.,6-4,G,20,88,38,254,division1
315,316,Ali Ali,Akron,So.,6-6,F,18,87,54,253,division1
316,317,Jubrile Belo,Montana St.,Sr.,6-9,F,19,83,85,253,division1
317,318,Jeremiah Davenport,Cincinnati,Jr.,6-7,G,19,86,30,253,division1
318,319,Wendell Green Jr.,Auburn,So.,5-11,G,20,82,51,253,division1
319,320,Tajion Jones,UNC Asheville,Sr.,6-5,G,19,84,36,253,division1
320,321,Nendah Tarke,Coppin St.,So.,6-4,G,19,87,55,253,division1
321,322,Nate Watson,Providence,Sr.,6-10,C,19,107,39,253,division1
322,323,Shawn Williams,Ark.-Pine Bluff,Sr.,6-1,G,18,83,39,252,division1
323,324,Josh Bannan,Montana,So.,6-9,F,19,94,45,251,division1
324,325,Aaron Clarke,Sacred Heart,Sr.,6-0,G,15,78,70,251,division1
325,326,Joe French,Bethune-Cookman,Jr.,6-5,G,17,87,37,251,division1
326,327,Ryan Allen,Delaware,Sr.,6-2,G,19,88,28,250,division1
327,328,Braelen Bridges,Georgia,Sr.,6-11,F,20,97,56,250,division1
328,329,LJ Cryer,Baylor,So.,6-1,G,18,86,28,250,division1
329,330,Darious Hall,Central Ark.,Jr.,6-7,F,18,98,42,250,division1
330,331,Charlie Moore,Miami (FL),Sr.,5-11,G,20,92,31,250,division1
331,332,Vado Morse,James Madison,Jr.,6-0,G,17,77,56,250,division1
332,333,Jalen Ray,Hofstra,Sr.,6-2,G,17,79,37,250,division1
333,334,Donta Scott,Maryland,Jr.,6-7,F,20,92,41,250,division1
334,335,Jahmyl Telfort,Northeastern,So.,6-7,G,19,94,41,250,division1
335,336,Azuolas Tubelis,Arizona,So.,6-11,F,17,98,48,250,division1
336,337,Marcus Watson,N.C. A T,Fr.,6-6,G,21,88,51,250,division1
337,338,Moses Wood,Portland,So.,6-8,F,18,78,60,250,division1
338,339,Darius Burford,Elon,So.,6-0,G,20,102,27,249,division1
339,340,Bryce Fowler,Sacramento St.,Sr.,6-6,G,15,96,46,249,division1
340,341,Jordan Gainey,USC Upstate,Fr.,6-4,G,19,84,38,249,division1
341,342,Tanner Groves,Oklahoma,Sr.,6-10,F,19,99,29,249,division1
342,343,Jordan Johnson,Denver,So.,6-1,G,22,76,64,249,division1
343,344,Rich Kelly,Massachusetts,Sr.,6-1,G,19,78,47,249,division1
344,345,Carlos Marshall Jr.,Tennessee St.,Sr.,6-6,G,19,86,39,249,division1
